Datetime,Miner Reserve
2024-08-03T00:00:00Z,1815394.97538033
2024-08-02T00:00:00Z,1816195.33714637
2024-08-01T00:00:00Z,1816474.42621218
2024-07-31T00:00:00Z,1815479.91810943
2024-07-30T00:00:00Z,1815480.11621313
2024-07-29T00:00:00Z,1815427.15746109
2024-07-28T00:00:00Z,1815193.32877867
2024-07-27T00:00:00Z,1815482.7945495
2024-07-26T00:00:00Z,1815180.05068263
2024-07-25T00:00:00Z,1815343.77746391
2024-07-24T00:00:00Z,1815018.1890649
2024-07-23T00:00:00Z,1815565.84976484
2024-07-22T00:00:00Z,1815549.77621739
2024-07-21T00:00:00Z,1815732.62253459
2024-07-20T00:00:00Z,1815566.2093841
2024-07-19T00:00:00Z,1816088.3271965
2024-07-18T00:00:00Z,1816137.40573484
2024-07-17T00:00:00Z,1816389.3995715
2024-07-16T00:00:00Z,1817125.90114608
2024-07-15T00:00:00Z,1817875.37223728
2024-07-14T00:00:00Z,1818368.87336481
2024-07-13T00:00:00Z,1818283.51485164
2024-07-12T00:00:00Z,1817360.29274357
2024-07-11T00:00:00Z,1816966.89805021
2024-07-10T00:00:00Z,1817328.44134257
2024-07-09T00:00:00Z,1817245.53700364
2024-07-08T00:00:00Z,1817066.22245643
2024-07-07T00:00:00Z,1817576.0071542
2024-07-06T00:00:00Z,1817091.79418167
2024-07-05T00:00:00Z,1817347.82285666
2024-07-04T00:00:00Z,1817089.55426541
2024-07-03T00:00:00Z,1816973.53351439
2024-07-02T00:00:00Z,1817138.64006865
2024-07-01T00:00:00Z,1816900.91982777
2024-06-30T00:00:00Z,1819240.56456758
2024-06-29T00:00:00Z,1819194.42797462
2024-06-28T00:00:00Z,1819432.19975817
2024-06-27T00:00:00Z,1818557.77957526
2024-06-26T00:00:00Z,1818663.37650425
2024-06-25T00:00:00Z,1817842.1915235
2024-06-24T00:00:00Z,1818466.92630523
2024-06-23T00:00:00Z,1818458.1360649
2024-06-22T00:00:00Z,1818240.8155275
2024-06-21T00:00:00Z,1819140.31362532
2024-06-20T00:00:00Z,1818530.3275885
